version,release_date,artifact_id,service_name
2.0.0,2021-08-09,google-cloud-storage,bigstore
2.0.1,2021-08-11,google-cloud-storage,bigstore
2.0.2,2021-08-19,google-cloud-storage,bigstore
2.1.0,2021-08-24,google-cloud-storage,bigstore
2.1.1,2021-09-03,google-cloud-storage,bigstore
2.1.10,2022-02-17,google-cloud-storage,bigstore
2.1.2,2021-09-14,google-cloud-storage,bigstore
2.1.3,2021-09-15,google-cloud-storage,bigstore
2.1.4,2021-09-20,google-cloud-storage,bigstore
2.1.5,2021-09-22,google-cloud-storage,bigstore
2.1.6,2021-09-24,google-cloud-storage,bigstore
2.1.7,2021-10-04,google-cloud-storage,bigstore
2.1.8,2021-10-18,google-cloud-storage,bigstore
2.1.9,2021-10-19,google-cloud-storage,bigstore
2.10.0,2022-07-14,google-cloud-storage,bigstore
2.11.0,2022-08-03,google-cloud-storage,bigstore
2.11.1,2022-08-04,google-cloud-storage,bigstore
2.11.2,2022-08-04,google-cloud-storage,bigstore
2.11.3,2022-08-08,google-cloud-storage,bigstore
2.12.0,2022-09-15,google-cloud-storage,bigstore
2.13.0,2022-10-05,google-cloud-storage,bigstore
2.13.1,2022-10-20,google-cloud-storage,bigstore
2.14.0,2022-10-26,google-cloud-storage,bigstore
2.15.0,2022-11-07,google-cloud-storage,bigstore
2.15.1,2022-11-18,google-cloud-storage,bigstore
2.2.0,2021-11-03,google-cloud-storage,bigstore
2.2.1,2021-11-15,google-cloud-storage,bigstore
2.2.2,2021-12-06,google-cloud-storage,bigstore
2.2.3,2022-01-07,google-cloud-storage,bigstore
2.3.0,2022-01-13,google-cloud-storage,bigstore
2.4.0,2022-02-03,google-cloud-storage,bigstore
2.4.1,2022-02-08,google-cloud-storage,bigstore
2.4.2,2022-02-11,google-cloud-storage,bigstore
2.4.3,2022-02-28,google-cloud-storage,bigstore
2.4.4,2022-02-28,google-cloud-storage,bigstore
2.4.5,2022-03-08,google-cloud-storage,bigstore
2.5.0,2022-03-25,google-cloud-storage,bigstore
2.5.1,2022-03-28,google-cloud-storage,bigstore
2.6.0,2022-03-30,google-cloud-storage,bigstore
2.6.1,2022-04-18,google-cloud-storage,bigstore
2.6.2,2022-10-13,google-cloud-storage,bigstore
2.7.0,2022-05-24,google-cloud-storage,bigstore
2.7.1,2022-05-24,google-cloud-storage,bigstore
2.7.2,2022-05-27,google-cloud-storage,bigstore
2.8.0,2022-06-08,google-cloud-storage,bigstore
2.8.1,2022-06-13,google-cloud-storage,bigstore
2.9.0,2022-06-29,google-cloud-storage,bigstore
2.9.1,2022-07-06,google-cloud-storage,bigstore
2.9.2,2022-07-06,google-cloud-storage,bigstore
2.9.3,2022-07-08,google-cloud-storage,bigstore
0.10.0-beta,2017-03-17,google-cloud-vision,vision
0.11.0-beta,2017-03-31,google-cloud-vision,vision
0.11.1-beta,2017-04-03,google-cloud-vision,vision
0.11.2-beta,2017-04-05,google-cloud-vision,vision
0.12.0-beta,2017-04-07,google-cloud-vision,vision
0.13.0-beta,2017-04-13,google-cloud-vision,vision
0.14.0-beta,2017-04-21,google-cloud-vision,vision
0.15.0-beta,2017-04-22,google-cloud-vision,vision
0.16.0-beta,2017-04-25,google-cloud-vision,vision
0.17.0-beta,2017-04-25,google-cloud-vision,vision
0.17.1-beta,2017-04-26,google-cloud-vision,vision
0.17.2-beta,2017-05-04,google-cloud-vision,vision
0.18.0-beta,2017-05-18,google-cloud-vision,vision
0.19.0-beta,2017-06-05,google-cloud-vision,vision
0.20.0-beta,2017-06-15,google-cloud-vision,vision
0.20.1-beta,2017-06-27,google-cloud-vision,vision
0.20.2-beta,2017-07-17,google-cloud-vision,vision
0.20.3-beta,2017-07-19,google-cloud-vision,vision
0.21.0-beta,2017-07-27,google-cloud-vision,vision
0.21.1-beta,2017-07-31,google-cloud-vision,vision
0.22.0-beta,2017-08-21,google-cloud-vision,vision
0.23.0-beta,2017-09-11,google-cloud-vision,vision
0.23.1-beta,2017-09-13,google-cloud-vision,vision
0.24.0-beta,2017-09-18,google-cloud-vision,vision
0.25.0-beta,2017-10-03,google-cloud-vision,vision
0.26.0-beta,2017-10-14,google-cloud-vision,vision
0.27.0-beta,2017-11-08,google-cloud-vision,vision
0.28.0-beta,2017-11-09,google-cloud-vision,vision
0.29.0-beta,2017-11-15,google-cloud-vision,vision
0.3.0,2016-08-31,google-cloud-vision,vision
0.4.0,2016-09-29,google-cloud-vision,vision
0.5.0,2016-10-29,google-cloud-vision,vision
0.5.1,2016-11-04,google-cloud-vision,vision
0.6.0,2016-11-15,google-cloud-vision,vision
0.7.0,2016-11-24,google-cloud-vision,vision
0.8.0,2016-12-08,google-cloud-vision,vision
0.8.1-alpha,2017-01-09,google-cloud-vision,vision
0.8.2-alpha,2017-02-01,google-cloud-vision,vision
0.8.3-alpha,2017-02-03,google-cloud-vision,vision
0.9.0-alpha,2017-02-12,google-cloud-vision,vision
0.9.1-alpha,2017-02-14,google-cloud-vision,vision
